1729289421.795199 server started (20998): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1729289421.795236 on Linux 6.11.0-8-generic #8-Ubuntu SMP PREEMPT_DYNAMIC Mon Sep 16 13:41:20 UTC 2024
1729289421.795247 using libevent 2.1.12-stable poll
1729289421.795251 using ncurses 6.5 20240427
1729289421.795342 input_key_build: 0x10e003 (PasteStart) is \033[200~
1729289421.795348 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1729289421.795352 input_key_build: 0x10e195 (F1) is \033OP
1729289421.795361 input_key_build: 0x10e196 (F2) is \033OQ
1729289421.795366 input_key_build: 0x10e197 (F3) is \033OR
1729289421.795369 input_key_build: 0x10e198 (F4) is \033OS
1729289421.795373 input_key_build: 0x10e199 (F5) is \033[15~
1729289421.795377 input_key_build: 0x10e19a (F6) is \033[17~
1729289421.795380 input_key_build: 0x10e19b (F7) is \033[18~
1729289421.795384 input_key_build: 0x10e19c (F8) is \033[19~
1729289421.795387 input_key_build: 0x10e19d (F9) is \033[20~
1729289421.795391 input_key_build: 0x10e19e (F10) is \033[21~
1729289421.795394 input_key_build: 0x10e19f (F11) is \033[23~
1729289421.795398 input_key_build: 0x10e1a0 (F12) is \033[24~
1729289421.795401 input_key_build: 0x10e1a1 (IC) is \033[2~
1729289421.795405 input_key_build: 0x10e1a2 (DC) is \033[3~
1729289421.795408 input_key_build: 0x10e1a3 (Home) is \033[1~
1729289421.795412 input_key_build: 0x10e1a4 (End) is \033[4~
1729289421.795415 input_key_build: 0x10e1a5 (NPage) is \033[6~
1729289421.795419 input_key_build: 0x10e1a6 (PPage) is \033[5~
1729289421.795422 input_key_build: 0x10e1a7 (BTab) is \033[Z
1729289421.795426 input_key_build: 0x10e1a8 (Up) is \033[A
1729289421.795430 input_key_build: 0x10e1a9 (Down) is \033[B
1729289421.795434 input_key_build: 0x10e1aa (Left) is \033[D
1729289421.795438 input_key_build: 0x10e1ab (Right) is \033[C
1729289421.795442 input_key_build: 0x10e1ac (KP/) is /
1729289421.795446 input_key_build: 0x10e1ad (KP*) is *
1729289421.795453 input_key_build: 0x10e1ae (KP-) is -
1729289421.795457 input_key_build: 0x10e1af (KP7) is 7
1729289421.795461 input_key_build: 0x10e1b0 (KP8) is 8
1729289421.795464 input_key_build: 0x10e1b1 (KP9) is 9
1729289421.795467 input_key_build: 0x10e1b2 (KP+) is +
1729289421.795471 input_key_build: 0x10e1b3 (KP4) is 4
1729289421.795475 input_key_build: 0x10e1b4 (KP5) is 5
1729289421.795478 input_key_build: 0x10e1b5 (KP6) is 6
1729289421.795482 input_key_build: 0x10e1b6 (KP1) is 1
1729289421.795485 input_key_build: 0x10e1b7 (KP2) is 2
1729289421.795489 input_key_build: 0x10e1b8 (KP3) is 3
1729289421.795492 input_key_build: 0x10e1b9 (KPEnter) is \n
1729289421.795496 input_key_build: 0x10e1ba (KP0) is 0
1729289421.795499 input_key_build: 0x10e1bb (KP.) is .
1729289421.795503 input_key_build: 0x200000000009 (C-Tab) is \t
1729289421.795507 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1729289421.795511 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1729289421.795515 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1729289421.795518 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1729289421.795522 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1729289421.795526 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1729289421.795530 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1729289421.795533 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1729289421.795537 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1729289421.795540 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1729289421.795543 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1729289421.795560 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1729289421.795564 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1729289421.795568 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1729289421.795571 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1729289421.795574 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1729289421.795578 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1729289421.795581 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1729289421.795584 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1729289421.795594 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1729289421.795598 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1729289421.795602 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1729289421.795605 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1729289421.795608 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1729289421.795611 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1729289421.795615 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1729289421.795618 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1729289421.795621 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1729289421.795624 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
